TendenciaAnterior,Sube,Baja,Volumen
-0.02545464,0,1,120
-0.02537638,0,1,213
-0.025270343,0,1,153
-0.025239408,1,0,133
-0.025115192,1,0,44
-0.02511251,0,1,227
-0.02499199,0,1,202
-0.024785936,0,1,172
-0.024701118,0,1,119
-0.02446723,1,0,184
-0.024459898,1,0,310
-0.024444282,1,0,66
-0.024338365,0,1,159
-0.024250746,1,0,196
-0.024208784,0,1,178
-0.02387917,1,0,42
-0.02387458,1,0,140
-0.023835719,1,0,134
-0.023833692,0,1,102
-0.023783207,1,0,180
-0.023754,1,0,148
-0.023502052,0,1,70
-0.023498178,0,1,207
-0.023413599,0,1,279
-0.023365378,0,1,384
-0.023139,1,0,203
-0.023050249,0,1,126
-0.023010254,1,0,103
-0.022910357,1,0,206
-0.022865117,0,1,52
-0.022744775,1,0,83
-0.022703588,1,0,147
-0.022652984,1,0,85
-0.022336304,0,1,164
-0.022254229,1,0,385
-0.022186875,0,1,182
-0.022097945,0,1,200
-0.021956205,0,1,188
-0.021939516,0,1,103
-0.021901608,0,1,124
-0.021795452,1,0,156
-0.021767557,1,0,142
-0.021748185,1,0,71
-0.02155292,0,1,119
-0.021545231,0,1,98
-0.021456897,1,0,82
-0.021454155,1,0,95
-0.021425843,0,1,229
-0.021321833,0,1,131
-0.021235585,0,1,210
-0.021207094,1,0,68
-0.021201909,0,1,105
-0.021142423,1,0,221
-0.021018386,0,1,225
-0.020994425,0,1,144
-0.020912766,0,1,237
-0.02071184,0,1,86
-0.020693362,0,1,100
-0.020658076,1,0,173
-0.020592391,0,1,108
-0.020207226,0,1,78
-0.02002877,1,0,67
-0.020025492,1,0,86
-0.019990444,1,0,313
-0.019922137,0,1,161
-0.019918919,1,0,57
-0.01988393,0,1,93
-0.019784033,0,1,193
-0.019749999,1,0,56
-0.019748092,1,0,57
-0.019676328,1,0,81
-0.01955092,1,0,209
-0.019521594,0,1,44
-0.019448042,0,1,57
-0.01933977,1,0,194
-0.0193035,0,1,98
-0.01928842,1,0,257
-0.019235909,0,1,65
-0.019158483,0,1,143
-0.01900816,1,0,110
-0.018949449,1,0,143
-0.018809736,1,0,224
-0.018793166,0,1,127
-0.018676996,1,0,150
-0.018658757,1,0,170
-0.018456697,0,1,161
-0.018436193,0,1,70
-0.01839137,0,1,373
-0.018286407,0,1,88
-0.018254876,0,1,113
-0.01802659,0,1,116
-0.017979562,0,1,118
-0.017901659,0,1,95
-0.01785326,0,1,273
-0.017814338,1,0,82
-0.0177024,1,0,102
-0.017696321,0,1,178
-0.017646551,0,1,23
-0.01761043,0,1,138
-0.017478764,0,1,175
-0.017319083,0,1,88
-0.017148197,1,0,146
-0.016771257,0,1,137
-0.016603231,0,1,30
-0.01660055,0,1,71
-0.016572118,1,0,101
-0.016566157,1,0,71
-0.016553938,1,0,188
-0.016284227,0,1,94
-0.016273618,1,0,131
-0.016260028,1,0,101
-0.016140223,0,1,144
-0.016111255,0,1,83
-0.016098559,1,0,87
-0.016077697,0,1,123
-0.015981197,0,1,45
-0.01578927,1,0,78
-0.015760481,1,0,73
-0.01572615,1,0,137
-0.015650392,1,0,112
-0.015567899,1,0,228
-0.015534461,1,0,151
-0.015514016,0,1,50
-0.015406013,1,0,109
-0.01532197,0,1,116
-0.015286267,1,0,140
-0.01512897,1,0,184
-0.015060067,1,0,76
-0.015051901,1,0,148
-0.014884353,1,0,85
-0.014801621,1,0,83
-0.014794409,1,0,60
-0.014775008,1,0,342
-0.014735758,1,0,30
-0.014670372,0,1,85
-0.014581859,1,0,228
-0.0145576,1,0,112
-0.014515877,1,0,98
-0.014441073,0,1,151
-0.014396489,0,1,118
-0.01439178,0,1,234
-0.014288545,1,0,63
-0.014287055,1,0,63
-0.014285982,0,1,139
-0.014262676,0,1,204
-0.014196396,1,0,151
-0.014148474,1,0,135
-0.014045358,0,1,116
-0.013962328,0,1,217
-0.013825119,1,0,106
-0.013780594,0,1,98
-0.013773143,1,0,132
-0.013772666,0,1,128
-0.013650954,1,0,124
-0.013646066,1,0,193
-0.01362735,1,0,160
-0.013551116,1,0,140
-0.013512313,0,1,218
-0.013352692,0,1,141
-0.013095677,1,0,81
-0.013062418,0,1,195
-0.012974381,0,1,99
-0.012924135,0,1,310
-0.012885809,0,1,115
-0.012810349,0,1,274
-0.012803555,1,0,184
-0.012624204,1,0,95
-0.012612641,1,0,256
-0.012582123,0,1,74
-0.012532234,1,0,60
-0.012458772,1,0,139
-0.012447298,1,0,180
-0.012404203,1,0,98
-0.012378693,1,0,211
-0.012354851,0,1,290
-0.012342691,1,0,130
-0.01233232,1,0,104
-0.012297988,1,0,149
-0.012200177,0,1,14
-0.012115717,0,1,105
-0.012097359,1,0,48
-0.011877775,1,0,105
-0.011823893,0,1,347
-0.01181674,0,1,185
-0.011810422,1,0,67
-0.011774898,0,1,109
-0.011698365,0,1,145
-0.011534691,0,1,56
-0.011514545,1,0,105
-0.011420071,1,0,153
-0.011163235,0,1,90
-0.011021555,0,1,169
-0.011017919,0,1,53
-0.010921955,1,0,100
-0.010843396,0,1,221
-0.010830641,1,0,125
-0.010747433,0,1,98
-0.010520041,1,0,128
-0.010468662,0,1,397
-0.010439187,1,0,264
-0.010436356,1,0,240
-0.010278642,1,0,154
-0.010278463,0,1,46
-0.010200024,1,0,41
-0.01016289,0,1,121
-0.010084391,1,0,97
-0.010028362,0,1,159
-0.010008097,0,1,79
-0.009996057,0,1,239
-0.009990513,0,1,39
-0.009974361,0,1,146
-0.009939253,1,0,127
-0.009906292,1,0,170
-0.009857297,1,0,92
-0.009855509,1,0,103
-0.009703338,0,1,80
-0.00968802,0,1,82
-0.009666264,0,1,68
-0.009587526,1,0,55
-0.009439468,0,1,165
-0.009385824,0,1,115
-0.009383857,1,0,93
-0.009260297,1,0,89
-0.009211183,1,0,77
-0.009208441,0,1,48
-0.009170771,1,0,184
-0.009157032,1,0,217
-0.009062111,1,0,24
-0.009047389,1,0,103
-0.008991122,1,0,68
-0.008936644,0,1,157
-0.008913338,1,0,71
-0.008911192,1,0,187
-0.008891881,1,0,356
-0.008872271,1,0,305
-0.008828878,1,0,219
-0.008814335,0,1,172
-0.008760273,0,1,163
-0.008683443,0,1,163
-0.008675098,0,1,57
-0.008632779,0,1,67
-0.008632243,0,1,91
-0.008596718,1,0,57
-0.008474708,1,0,330
-0.008474052,0,1,79
-0.008461654,0,1,158
-0.008460999,0,1,92
-0.008292258,0,1,29
-0.008230686,0,1,92
-0.008137584,0,1,174
-0.008125603,0,1,84
-0.008053064,0,1,123
-0.008040667,1,0,148
-0.007971704,1,0,150
-0.007920206,1,0,121
-0.007797539,0,1,146
-0.007775128,0,1,176
-0.00776428,0,1,150
-0.007749021,0,1,227
-0.007509887,0,1,188
-0.007444501,0,1,100
-0.007363558,1,0,169
-0.007348836,0,1,20
-0.007284224,0,1,12
-0.007184386,1,0,97
-0.007113814,0,1,190
-0.007052958,0,1,327
-0.007012963,0,1,106
-0.006873667,0,1,93
-0.006760955,1,0,154
-0.006692231,0,1,262
-0.006631732,1,0,140
-0.006621718,0,1,91
-0.00656879,1,0,111
-0.006516278,1,0,38
-0.00651443,1,0,129
-0.006490409,1,0,125
-0.006484628,1,0,110
-0.006431222,0,1,99
-0.006340563,0,1,206
-0.006249666,0,1,275
-0.0062024,0,1,146
-0.006082654,0,1,131
-0.005957484,0,1,128
-0.005906344,0,1,57
-0.005863726,1,0,87
-0.005752206,0,1,143
-0.005749822,1,0,98
-0.005743206,1,0,158
-0.00551486,0,1,65
-0.005470336,0,1,91
-0.005453587,1,0,46
-0.005420148,0,1,151
-0.005243838,1,0,71
-0.005229652,0,1,140
-0.005015254,0,1,104
-0.005012333,0,1,80
-0.004898787,1,0,132
-0.004864216,1,0,155
-0.004772484,0,1,36
