Date,Open,High,Low,Close,Volume,Ask
2020.06.29 01:50,0.68562,0.68600,0.68562,0.68580,90,0
2020.06.29 01:55,0.68580,0.68589,0.68580,0.68584,71,0
2020.06.29 02:00,0.68588,0.68595,0.68579,0.68583,92,0
2020.06.29 02:05,0.68583,0.68593,0.68559,0.68573,100,0
2020.06.29 02:10,0.68573,0.68593,0.68560,0.68580,75,0
2020.06.29 02:15,0.68578,0.68591,0.68561,0.68568,72,0
2020.06.29 02:20,0.68568,0.68578,0.68559,0.68560,68,0
2020.06.29 02:25,0.68560,0.68572,0.68531,0.68534,83,0
2020.06.29 02:30,0.68534,0.68561,0.68531,0.68560,80,0
2020.06.29 02:35,0.68560,0.68619,0.68552,0.68612,125,0
2020.06.29 02:40,0.68612,0.68643,0.68612,0.68639,121,0
2020.06.29 02:45,0.68642,0.68651,0.68617,0.68648,102,0
2020.06.29 02:50,0.68648,0.68659,0.68627,0.68627,114,0
2020.06.29 02:55,0.68627,0.68637,0.68589,0.68597,63,0
2020.06.29 03:00,0.68598,0.68643,0.68552,0.68569,306,0
2020.06.29 03:05,0.68570,0.68619,0.68562,0.68600,188,0
2020.06.29 03:10,0.68604,0.68641,0.68581,0.68600,221,0
2020.06.29 03:15,0.68600,0.68602,0.68559,0.68562,188,0
2020.06.29 03:20,0.68562,0.68587,0.68542,0.68582,146,0
2020.06.29 03:25,0.68583,0.68632,0.68581,0.68632,126,0
2020.06.29 03:30,0.68632,0.68677,0.68614,0.68641,161,0
2020.06.29 03:35,0.68641,0.68647,0.68592,0.68610,164,0
2020.06.29 03:40,0.68610,0.68659,0.68610,0.68639,165,0
2020.06.29 03:45,0.68639,0.68673,0.68628,0.68668,119,0
2020.06.29 03:50,0.68668,0.68699,0.68668,0.68680,162,0
2020.06.29 03:55,0.68679,0.68744,0.68667,0.68739,166,0
2020.06.29 04:00,0.68739,0.68741,0.68698,0.68721,164,0
2020.06.29 04:05,0.68718,0.68719,0.68682,0.68702,119,0
2020.06.29 04:10,0.68701,0.68718,0.68687,0.68718,136,0
2020.06.29 04:15,0.68717,0.68747,0.68688,0.68688,229,0
2020.06.29 04:20,0.68688,0.68696,0.68666,0.68677,147,0
2020.06.29 04:25,0.68677,0.68698,0.68670,0.68689,148,0
2020.06.29 04:30,0.68689,0.68718,0.68672,0.68680,205,0
2020.06.29 04:35,0.68680,0.68681,0.68657,0.68680,145,0
2020.06.29 04:40,0.68681,0.68715,0.68679,0.68698,171,0
2020.06.29 04:45,0.68699,0.68720,0.68691,0.68715,169,0
2020.06.29 04:50,0.68715,0.68732,0.68710,0.68712,117,0
2020.06.29 04:55,0.68712,0.68751,0.68708,0.68739,139,0
2020.06.29 05:00,0.68739,0.68741,0.68709,0.68711,155,0
2020.06.29 05:05,0.68711,0.68755,0.68704,0.68755,87,0
2020.06.29 05:10,0.68755,0.68807,0.68751,0.68801,164,0
2020.06.29 05:15,0.68801,0.68811,0.68789,0.68802,154,0
2020.06.29 05:20,0.68799,0.68803,0.68778,0.68790,82,0
2020.06.29 05:25,0.68790,0.68842,0.68790,0.68834,156,0
2020.06.29 05:30,0.68836,0.68839,0.68771,0.68780,149,0
2020.06.29 05:35,0.68780,0.68849,0.68779,0.68829,144,0
2020.06.29 05:40,0.68828,0.68865,0.68822,0.68838,128,0
2020.06.29 05:45,0.68838,0.68857,0.68817,0.68827,72,0
2020.06.29 05:50,0.68827,0.68837,0.68808,0.68808,97,0
2020.06.29 05:55,0.68809,0.68826,0.68807,0.68816,124,0
2020.06.29 06:00,0.68817,0.68833,0.68796,0.68810,107,0
2020.06.29 06:05,0.68810,0.68812,0.68797,0.68797,79,0
2020.06.29 06:10,0.68799,0.68804,0.68766,0.68776,125,0
2020.06.29 06:15,0.68776,0.68777,0.68756,0.68772,117,0
2020.06.29 06:20,0.68772,0.68804,0.68770,0.68791,120,0
2020.06.29 06:25,0.68792,0.68818,0.68789,0.68798,157,0
2020.06.29 06:30,0.68798,0.68822,0.68766,0.68796,174,0
2020.06.29 06:35,0.68796,0.68805,0.68776,0.68789,122,0
2020.06.29 06:40,0.68789,0.68789,0.68747,0.68747,145,0
2020.06.29 06:45,0.68747,0.68762,0.68726,0.68726,147,0
2020.06.29 06:50,0.68726,0.68751,0.68726,0.68747,79,0
2020.06.29 06:55,0.68747,0.68766,0.68732,0.68734,122,0
2020.06.29 07:00,0.68740,0.68751,0.68729,0.68746,153,0
2020.06.29 07:05,0.68745,0.68767,0.68734,0.68745,141,0
2020.06.29 07:10,0.68745,0.68758,0.68717,0.68721,113,0
2020.06.29 07:15,0.68723,0.68723,0.68705,0.68710,114,0
2020.06.29 07:20,0.68710,0.68728,0.68704,0.68706,76,0
2020.06.29 07:25,0.68706,0.68715,0.68696,0.68709,80,0
2020.06.29 07:30,0.68709,0.68727,0.68707,0.68712,118,0
2020.06.29 07:35,0.68712,0.68715,0.68678,0.68687,110,0
2020.06.29 07:40,0.68687,0.68705,0.68679,0.68702,131,0
2020.06.29 07:45,0.68702,0.68703,0.68668,0.68688,78,0
2020.06.29 07:50,0.68688,0.68706,0.68677,0.68706,89,0
2020.06.29 07:55,0.68705,0.68733,0.68695,0.68720,142,0
2020.06.29 08:00,0.68721,0.68750,0.68721,0.68729,116,0
2020.06.29 08:05,0.68729,0.68808,0.68727,0.68802,174,0
2020.06.29 08:10,0.68802,0.68834,0.68800,0.68808,125,0
2020.06.29 08:15,0.68808,0.68812,0.68783,0.68800,109,0
2020.06.29 08:20,0.68799,0.68812,0.68792,0.68796,83,0
2020.06.29 08:25,0.68796,0.68826,0.68787,0.68820,106,0
2020.06.29 08:30,0.68823,0.68834,0.68790,0.68790,133,0
2020.06.29 08:35,0.68790,0.68822,0.68788,0.68811,147,0
2020.06.29 08:40,0.68811,0.68833,0.68807,0.68832,143,0
2020.06.29 08:45,0.68832,0.68836,0.68773,0.68779,149,0
2020.06.29 08:50,0.68779,0.68792,0.68748,0.68777,133,0
2020.06.29 08:55,0.68777,0.68800,0.68770,0.68778,156,0
2020.06.29 09:00,0.68778,0.68793,0.68761,0.68789,296,0
2020.06.29 09:05,0.68789,0.68840,0.68764,0.68830,274,0
2020.06.29 09:10,0.68831,0.68846,0.68783,0.68797,276,0
2020.06.29 09:15,0.68797,0.68839,0.68782,0.68829,257,0
2020.06.29 09:20,0.68829,0.68853,0.68793,0.68848,225,0
2020.06.29 09:25,0.68848,0.68892,0.68832,0.68889,193,0
2020.06.29 09:30,0.68884,0.68905,0.68852,0.68854,206,0
2020.06.29 09:35,0.68852,0.68861,0.68836,0.68851,214,0
